"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4.7nf","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C2,C6","2","100nf","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C3,C5","2","10uf","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C4","1","2uf","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"CR1","1","PESD1CAN_215","","","","SOT23_PESD1_NEX","PESD1CAN_215"
"J1","1","DE9_Pins","","","","Connector_Dsub:DSUB-9_Pins_Vertical_P2.77x2.84mm_MountingHoles","~"
"J2","1","Screw_Terminal_01x04","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","~"
"L1","1","3.3uH C2849498","","","","Inductor_SMD:L_APV_ANR5040","~"
"R1","1","0R","DNP","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R4","2","60R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5","1","0R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6","1","10K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7","1","100K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R8","1","13.7K","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","XIAO-ESP32-C6/SUPERMini","","Excluded from BOM","","JPGIndustriesCustom:SUPERMINI-ESP32C6-DIP",""
"U2","1","SN65HVD230DR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf"
"U3","1","LMR51430","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/lmr51430.pdf"
