Designator,Mid X,Mid Y,Layer,Rotation
C2,149.302617,-73.697383,top,-90
C3,141.658883,-70,top,180
C4,116.945985,-56.339791,top,90
C5,141.658883,-72,top,180
C6,149.525,-61,top,180
C7,117.945985,-56.339791,top,90
CR1,142.14935,-56.049999,top,0
L1,145.85,-70,top,0
R1,125.985387,-57.457654,top,-90
R2,123.985387,-57.457654,top,90
R3,139,-56,top,-90
R5,117.68,-48,top,0
R6,115.68,-48,top,-90
R7,144.534671,-74.02634,top,90
R8,143.370781,-74.059833,top,-90
U2,144.525,-62,top,180
U3,147,-75,top,-90
TVS1,150.192818,-65.207182,top,-90
